Product_name,SKU,Price,Subject,Date,Review,Stars,like,dislike
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,"Good toilet, complete kit w/ soft-close seat","July 12, 2021",Install go mostly accord plan however bolts secure toilet floor long cut tool available hacksaw blade take lot longer expect complaint seat attachment design hardware seem cheap compare seat instal replacement seat Overall toilet flush great installs accord typical instruction everything else go smoothly flush mechanism handle flap standpipe come preinstalled tank issue leak toilet come hose connect tank wall water supply specific house make sure note replace short bowl height toilet one exist supply line likely short replace anyway Overall seem like great replacement include lot value convenience complete kit,5,13,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Easy Install,"July 3, 2021",easy install Make sure someone help carry box area install prior unpacking item include install save time trip something may forget sure clean flange area prior instal new seal find instal bowl without tank easy handle tank easy attach sure overtighten fitting,5,6,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Hotel Flusher,"August 6, 2021",first thing want say youve ever stayed hotel use toilet almost suck flush well exactly toilet work Scared first time flush come easy install instruction plus hardware need install toilet minus water supply line come box care toilet seat accompanies system feel seat cheap hole use small large person still feel uncomfortable screw come install seat extremely long could definitely use short screw metal plastic would nice Also instal tank base might want 17mm socket available help tighten bowl toilet place inch wall try secure screw provide used 17mm socket help secure nuts bolt Overall since instal last night like product think minor change would perfect product,4,10,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Gorgeous toilet,"July 17, 2021",get toilet think different get installed apparent good stand little high make much easy get build heavy duty make sit firm place instal use everything need install gorgeous look toilet,5,6,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Great functioning toilet,"August 29, 2021",toilet toilet pretty much Good thing toilet powerful flush Toilet look installs like others see difference appearance wise compare brand Box complete toilet install kit everything Install easy Typical install direction,5,8,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Looks good and works well in our small space.,"July 25, 2021",renovate small half bath need replace old highflow toilet choose round bowl limit space toilet vanity new toilet fit small space look good package include everything need complete installation except line water supply tank inlet really could include line need measure distance buy correct line length Everything package compactly single box lift handle side inner box contains tank tank cover instruction didnt notice cover pack tank remove tank box instruction clear installation reasonable easy set toilet square level leak follow instruction try toilet general concern effectiveness lowflow operation toilet appear powerful flush tank almost large one old highflow toilet mechanism appear meter less half tank capacity flush weight remain water provide force limited water deliver flush flush appear clear bowl completely problem bowl height toilet high one replace consensus height comfortable low bowl expect matter personal preference provide good solution particular renovation need fit small space work well look good,5,13,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Installed fairly easy,"July 17, 2021",seem trouble plumb old flange broken side toilet instal fairly well dont like tank connects bowl gap really large,4,9,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Great looking ADA compliant toilet!,"July 5, 2021",extra 3 inch height ADA company toilet make big difference Im 61 help squat far Toilet come everything need install seem well build look great,5,6,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Manufacture does not inspect the product,"May 16, 2022",Toilet never inspect make 12 slant right must drop place kiln fire,1,0,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Five Stars! Would Poop Here Again!,"July 15, 2021",Lets face Im old fat mean Im usually cranky use bathroom lot use spend hundred dollar every quarter water bill toilet might say flush away money Dont get wrong still spend hundred dollar every quarter water bill indeed spend few hundred Since instal comfortable efficient toilet much happy experience first thing morning eat fiber Im still regular Laugh get old fat cranky regular major victory,5,26,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Bad toilet seat,"September 19, 2021",Installation expect Toilet work fine flush reasonably good Though Im disappoint seat knew would buy cheap model without soft close lid Theres way tighten lid sliding Everytime one sit seat slide expect cheaply make plastic lid seat spend much American make toilet choice spend get another aftermarket wooden seat lid wont slide advise save money buy regular model without soft close lid since end spending extra another seat lid,3,5,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Nice to have a USA made toilet for once,"June 14, 2021",purchase replace contractor instal Project Source unit 6 year smart height round front also didnt flush well unit hand much nicer flush well elongate front much comfortable man use carp hold bolt much tall supply cap dont cover Thus use hack saw shorten bolt decorative cap would work best solution would provide taller cap complete kit bonus instal rock tile floor leak,4,16,5
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,"Great toilet, easy install, bad color","April 28, 2022",toilet super easy install Took roughly 30 minute open flush problem white bright white Doesnt match well Unfortunately live hour away needing toilet sacrifice make,3,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Easy install,"July 17, 2021",husband instal last evening issue Went smoothly like fact sit high old one slow close lid 2 thing look chose toilet go buy complaint seatlid cheaply make Well go back store buy new seat Otherwise Id give 5 star,4,9,0
